archive_member,size_bytes,compressed_bytes,extension,class,keyword_hits,license_signal
Tudo sobre a xclipse/Backup_completo_de_continuidade_—_projeto_Xclipse_.md,11816,4976,.md,source-or-config,android;drm;firmware;gpu;isa;manifest;namespace;selinux;shader;vulkan;xclipse,present-or-suspected
Tudo sobre a xclipse/Relatório_técnico_—_caminho_do_ICD_Vulkan_Xclipse_.md,4846,2306,.md,source-or-config,android;gpu;isa;manifest;namespace;selinux;vulkan;xclipse,present-or-suspected
Tudo sobre a xclipse/SM-S721B.zip,414414944,414414944,.zip,other,,
Tudo sobre a xclipse/XCLIPSE940_PROBE_FINAL.zip,12031897,11802005,.zip,other,,
Tudo sobre a xclipse/XCLIPSE940_problemas_etapa3_em_diante.pdf,73129,55624,.pdf,document,,
Tudo sobre a xclipse/backup_completo_continuidade.pdf,118886,71260,.pdf,document,,
Tudo sobre a xclipse/exec_props.txt,183,157,.txt,log-or-text,gpu;namespace;vulkan,
Tudo sobre a xclipse/exec_props_root.txt,183,157,.txt,log-or-text,gpu;namespace;vulkan,
Tudo sobre a xclipse/libdrm_sgpu.so,134568,21347,.so,binary,,
Tudo sobre a xclipse/probe_SM-S721B.txt,1274,550,.txt,log-or-text,drm;gem;gpu;ring,
Tudo sobre a xclipse/relatorio_tecnico_icd_vulkan.pdf,67841,49189,.pdf,document,,
Tudo sobre a xclipse/sgpu_raw_probe,10896,4641,[none],other,,
Tudo sobre a xclipse/vulkan.samsung.so,44423944,12178138,.so,binary,,
